#,Игрок,Амплуа,Возраст,Нац.,Клуб(ы),Стоимость,Матчи,Голы,автоголы,Передачи,Желтые карточки,Вторая желтая карточка,Красные карточки,Вышел на замену,Заменен,Гол+Пас за один матч
340,Marco Asensio,Левый Вингер,27,Испания,Пари Сен-Жермен,"25,00 млн €",3,2,0,1,0,0,0,0,2,1.0
341,Taiwo Awoniyi,Центральный нап.,26,Нигерия,Ноттингем Форест,"25,00 млн €",6,3,0,2,0,0,0,2,4,0.83
342,Franck Kessié,Центр. полузащитник,26,Кот-д'Ивуар,Аль-Ахли,"25,00 млн €",6,2,0,0,0,0,0,0,1,0.33
343,Ferland Mendy,Левый защитник,28,Франция,Реал Мадрид,"25,00 млн €",0,0,0,0,0,0,0,0,0,
344,Saïd Benrahma,Левый Вингер,28,Алжир,Вест Хэм Юнайтед,"25,00 млн €",6,0,0,1,0,0,0,2,2,0.17
345,Wilfred Ndidi,Опорный полузащитник,26,Нигерия,Лестер Сити,"25,00 млн €",8,3,0,1,0,0,0,2,6,0.5
346,Unai Simón,Вратарь,26,Испания,Атлетик Бильбао,"25,00 млн €",5,0,0,0,1,0,0,0,0,0.0
347,Timothy Castagne,Правый защитник,27,Бельгия,Фулхэм,"25,00 млн €",2,0,0,0,1,0,0,1,0,0.0
348,Amir Rrahmani,Центр. защитник,29,Косово,Наполи,"25,00 млн €",3,0,0,0,0,0,0,0,0,0.0
349,Iñaki Williams,Центральный нап.,29,Гана,Атлетик Бильбао,"25,00 млн €",5,2,0,1,1,0,0,0,2,0.6
350,Enes Ünal,Центральный нап.,26,Турция,Хетафе,"25,00 млн €",0,0,0,0,0,0,0,0,0,
351,Youri Tielemans,Центр. полузащитник,26,Бельгия,Астон Вилла,"25,00 млн €",7,0,0,0,0,0,0,6,0,0.0
352,Patrik Schick,Центральный нап.,27,Чехия,Байер 04 Леверкузен,"25,00 млн €",0,0,0,0,0,0,0,0,0,
353,Reinildo Mandava,Левый защитник,29,Мозамбик,Атлетико Мадрид,"25,00 млн €",0,0,0,0,0,0,0,0,0,
354,Álex Remiro,Вратарь,28,Испания,Реал Сосьедад,"25,00 млн €",5,0,0,0,0,0,0,0,0,0.0
355,Adam Webster,Центр. защитник,28,Англия,Брайтон энд Хоув Альбион,"25,00 млн €",2,0,0,0,1,0,0,0,0,0.0
356,Ruben Loftus-Cheek,Центр. полузащитник,27,Англия,Милан,"25,00 млн €",5,0,0,2,1,0,0,0,5,0.4
357,Sadio Mané,Левый Вингер,31,Сенегал,Аль-Наср Эр-Рияд,"25,00 млн €",9,6,0,0,2,0,0,0,4,0.67
358,Alejandro Grimaldo,Левый защитник,28,Испания,Байер 04 Леверкузен,"25,00 млн €",5,1,0,2,0,0,0,0,0,0.6
359,Aymeric Laporte,Центр. защитник,29,Испания,Аль-Наср Эр-Рияд,"25,00 млн €",6,0,0,0,0,0,0,1,1,0.0
360,Timo Werner,Центральный нап.,27,Германия,РБ Лейпциг,"25,00 млн €",5,0,0,1,0,0,0,3,2,0.2
361,Giovanni Di Lorenzo,Правый защитник,30,Италия,Наполи,"25,00 млн €",4,1,0,2,0,0,0,0,0,0.75
362,Marcelo Brozovic,Опорный полузащитник,30,Хорватия,Аль-Наср Эр-Рияд,"25,00 млн €",7,1,0,2,2,0,0,0,3,0.43
363,Yannick Carrasco,Левый Вингер,30,Бельгия,Аль-Шабаб,"25,00 млн €",4,0,0,1,0,0,0,0,2,0.25
364,Antoine Griezmann,Центральный нап.,32,Франция,Атлетико Мадрид,"25,00 млн €",6,2,0,0,3,0,0,0,3,0.33
365,Jorginho,Опорный полузащитник,31,Италия,Арсенал,"25,00 млн €",3,0,0,0,0,0,0,3,0,0.0
366,Karim Benzema,Центральный нап.,35,Франция,Иттихад,"25,00 млн €",6,3,0,2,0,0,0,0,1,0.83
367,Benjamin Sesko,Центральный нап.,20,Словения,РБ Лейпциг,"24,00 млн €",5,3,0,0,0,0,0,5,0,0.6
368,Wendel,Центр. полузащитник,26,Бразилия,Зенит Санкт-Петербург,"24,00 млн €",7,2,0,4,2,0,0,2,4,0.86
369,Christoph Baumgartner,Атак. полузащитник,24,Австрия,РБ Лейпциг,"24,00 млн €",5,0,0,0,0,0,0,5,0,0.0
370,Gonçalo Guedes,Левый Вингер,26,Португалия,Бенфика,"23,00 млн €",0,0,0,0,0,0,0,0,0,
371,Kamaldeen Sulemana,Левый Вингер,21,Гана,Саутгемптон,"22,00 млн €",2,0,0,0,0,0,1,2,0,0.0
372,Tyrick Mitchell,Левый защитник,24,Англия,Кристал Пэлас,"22,00 млн €",6,0,0,1,0,0,0,0,0,0.17
373,Evanilson,Центральный нап.,23,Бразилия,Порту,"22,00 млн €",2,1,0,0,1,0,0,1,1,0.5
374,Julio Enciso,Оттянутый нап.,19,Парагвай,Брайтон энд Хоув Альбион,"22,00 млн €",2,0,0,2,1,0,0,1,1,1.0
375,Arnaud Kalimuendo,Центральный нап.,21,Франция,Стад Ренн,"22,00 млн €",6,1,0,3,0,0,0,0,5,0.67
376,Rayan Aït-Nouri,Левый защитник,22,Алжир,Вулверхэмптон Уондерерс,"22,00 млн €",7,0,0,0,3,0,0,1,5,0.0
377,Kang-in Lee,Атак. полузащитник,22,Южная Корея,Пари Сен-Жермен,"22,00 млн €",3,0,0,0,1,0,0,1,2,0.0
378,Anatoliy Trubin,Вратарь,22,Украина,Бенфика,"22,00 млн €",1,0,0,0,0,0,0,0,0,0.0
379,Luis Sinisterra,Левый Вингер,24,Колумбия,Борнмут,"22,00 млн €",5,1,0,0,0,0,0,3,1,0.2
380,Facundo Medina,Центр. защитник,24,Аргентина,Ланс,"22,00 млн €",4,0,0,1,3,0,0,0,0,0.25
381,Marcos Senesi,Центр. защитник,26,Аргентина,Борнмут,"22,00 млн €",5,0,0,1,1,0,0,1,2,0.2
382,Nathan Collins,Центр. защитник,22,Ирландия,Брентфорд,"22,00 млн €",5,0,0,1,1,0,0,1,0,0.2
383,Tanguy Ndombélé,Центр. полузащитник,26,Франция,Галатасарай,"22,00 млн €",1,0,0,0,0,0,0,1,0,0.0
384,Charles De Ketelaere,Атак. полузащитник,22,Бельгия,Аталанта,"22,00 млн €",4,1,0,1,0,0,0,2,2,0.5
385,Pedro,Центральный нап.,26,Бразилия,Фламенго,"22,00 млн €",0,0,0,0,0,0,0,0,0,
386,Jack Harrison,Левый Вингер,26,Англия,Эвертон,"22,00 млн €",0,0,0,0,0,0,0,0,0,
387,Robert Sánchez,Вратарь,25,Испания,Челси,"22,00 млн €",6,0,0,0,0,0,0,0,0,0.0
388,Exequiel Palacios,Центр. полузащитник,24,Аргентина,Байер 04 Леверкузен,"22,00 млн €",5,2,0,0,1,0,0,1,2,0.4
389,Hamed Junior Traorè,Атак. полузащитник,23,Кот-д'Ивуар,Борнмут,"22,00 млн €",3,1,0,0,0,0,0,2,1,0.33
390,Nicolò Casale,Центр. защитник,25,Италия,Лацио,"22,00 млн €",3,0,0,0,0,0,0,0,0,0.0
391,Arthur Theate,Центр. защитник,23,Бельгия,Стад Ренн,"22,00 млн €",5,0,0,0,0,0,0,0,0,0.0
392,Pablo Fornals,Атак. полузащитник,27,Испания,Вест Хэм Юнайтед,"22,00 млн €",4,0,0,0,0,0,0,3,1,0.0
393,Tyrell Malacia,Левый защитник,24,Нидерланды,Манчестер Юнайтед,"22,00 млн €",0,0,0,0,0,0,0,0,0,
394,Valentin Rongier,Центр. полузащитник,28,Франция,Олимпик Марсель,"22,00 млн €",7,0,0,0,1,0,0,1,2,0.0
395,Mathias Jensen,Центр. полузащитник,27,Дания,Брентфорд,"22,00 млн €",6,2,0,1,1,0,0,1,3,0.5
396,Gianluca Scamacca,Центральный нап.,24,Италия,Аталанта,"22,00 млн €",4,2,0,0,0,0,0,3,1,0.5
397,Steven Bergwijn,Левый Вингер,25,Нидерланды,Аякс Амстердам,"22,00 млн €",5,2,0,1,2,0,0,0,1,0.6
398,Viktor Tsygankov,Правый Вингер,25,Украина,Жирона,"22,00 млн €",5,1,0,1,0,0,0,0,3,0.4
399,Kevin Danso,Центр. защитник,25,Австрия,Ланс,"22,00 млн €",6,0,0,0,0,0,0,0,1,0.0
400,Joe Gomez,Центр. защитник,26,Англия,Ливерпуль,"22,00 млн €",4,0,0,0,0,0,0,2,0,0.0
401,Tyrone Mings,Центр. защитник,30,Англия,Астон Вилла,"22,00 млн €",1,0,0,0,0,0,0,0,1,0.0
402,Rafa,Левый Вингер,30,Португалия,Бенфика,"22,00 млн €",6,3,0,4,2,0,0,0,2,1.17
403,Xaver Schlager,Центр. полузащитник,25,Австрия,РБ Лейпциг,"22,00 млн €",7,1,0,0,1,0,0,1,1,0.14
404,Djibril Sow,Центр. полузащитник,26,Швейцария,Севилья,"22,00 млн €",3,0,0,0,0,0,0,1,1,0.0
405,Solly March,Правый Вингер,29,Англия,Брайтон энд Хоув Альбион,"22,00 млн €",4,3,0,0,0,0,0,0,3,0.75
406,Thomas Lemar,Атак. полузащитник,27,Франция,Атлетико Мадрид,"22,00 млн €",3,0,0,0,0,0,0,0,3,0.0
407,Filip Kostic,Левый полузащитник,30,Сербия,Ювентус,"22,00 млн €",2,0,0,0,0,0,0,0,2,0.0
408,Kurt Zouma,Центр. защитник,28,Франция,Вест Хэм Юнайтед,"22,00 млн €",5,1,0,0,0,0,0,0,0,0.2
409,Wilfried Zaha,Левый Вингер,30,Кот-д'Ивуар,Галатасарай,"22,00 млн €",2,0,0,0,0,0,0,2,0,0.0
410,Jordan Pickford,Вратарь,29,Англия,Эвертон,"22,00 млн €",6,0,1,0,1,0,0,0,0,0.0
411,Christian Eriksen,Атак. полузащитник,31,Дания,Манчестер Юнайтед,"22,00 млн €",5,1,0,1,0,0,0,2,0,0.4
412,Gift Orban,Центральный нап.,21,Нигерия,Гент,"20,00 млн €",10,6,0,0,2,0,0,1,8,0.6
413,Alex Scott,Центр. полузащитник,20,Англия,Борнмут,"20,00 млн €",0,0,0,0,0,0,0,0,0,
414,Warren Zaïre-Emery,Центр. полузащитник,17,Франция,Пари Сен-Жермен,"20,00 млн €",8,0,0,1,2,0,0,0,4,0.12
415,Mathys Tel,Центральный нап.,18,Франция,Бавария Мюнхен,"20,00 млн €",6,2,0,1,0,0,0,4,1,0.5
416,Vanderson,Правый защитник,22,Бразилия,Монако,"20,00 млн €",5,1,0,1,1,0,0,0,3,0.4
417,Hugo Ekitiké,Центральный нап.,21,Франция,Пари Сен-Жермен,"20,00 млн €",1,0,0,0,0,0,0,1,0,0.0
418,Rico Lewis,Правый защитник,18,Англия,Манчестер Сити,"20,00 млн €",5,0,0,0,0,0,0,3,1,0.0
419,Ilya Zabarnyi,Центр. защитник,21,Украина,Борнмут,"20,00 млн €",5,0,0,0,0,0,0,0,0,0.0
420,Enzo Le Fée,Атак. полузащитник,23,Франция,Стад Ренн,"20,00 млн €",5,0,0,0,0,0,0,0,4,0.0
421,Éderson,Центр. полузащитник,24,Бразилия,Аталанта,"20,00 млн €",4,1,0,1,0,0,0,1,0,0.5
422,Dwight McNeil,Левый Вингер,23,Англия,Эвертон,"20,00 млн €",2,0,0,0,0,0,0,1,1,0.0
423,Nicola Zalewski,Левый полузащитник,21,Польша,Рома,"20,00 млн €",3,0,0,0,0,0,0,1,1,0.0
424,Álex Baena,Атак. полузащитник,22,Испания,Вильярреал,"20,00 млн €",5,1,0,3,2,0,0,0,4,0.8
425,Illan Meslier,Вратарь,23,Франция,Лидс Юнайтед,"20,00 млн €",6,0,0,0,0,0,0,0,0,0.0
426,Terem Moffi,Центральный нап.,24,Нигерия,Ницца,"20,00 млн €",5,3,0,2,1,0,0,1,3,1.0
427,Amine Adli,Правый Вингер,23,Марокко,Байер 04 Леверкузен,"20,00 млн €",3,1,0,3,0,0,0,1,1,1.33
428,Malick Thiaw,Центр. защитник,22,Германия,Милан,"20,00 млн €",5,0,0,0,2,0,0,0,2,0.0
429,Amar Dedic,Правый защитник,21,Босния и Герцеговина,Ред Булл Зальцбург,"20,00 млн €",8,3,0,2,1,0,0,0,0,0.62
430,Neco Williams,Правый защитник,22,Уэльс,Ноттингем Форест,"20,00 млн €",4,0,0,0,0,0,0,1,2,0.0
431,Renan Lodi,Левый защитник,25,Бразилия,Олимпик Марсель,"20,00 млн €",7,0,0,0,2,0,0,0,0,0.0
432,Emerson Royal,Правый защитник,24,Бразилия,Тоттенхэм Хотспур,"20,00 млн €",5,1,0,0,0,0,0,3,0,0.2
433,Samuele Ricci,Опорный полузащитник,22,Италия,Торино,"20,00 млн €",5,0,0,1,0,0,0,0,3,0.2
434,Armel Bella-Kotchap,Центр. защитник,21,Германия,ПСВ Эйндховен,"20,00 млн €",1,0,0,0,0,0,0,0,1,0.0
435,Galeno,Левый Вингер,25,Бразилия,Порту,"20,00 млн €",7,3,0,2,1,0,0,0,1,0.71
436,Youssef En-Nesyri,Центральный нап.,26,Марокко,Севилья,"20,00 млн €",6,2,0,0,0,0,0,1,3,0.33
437,Caio Henrique,Левый защитник,26,Бразилия,Монако,"20,00 млн €",5,0,0,4,0,0,0,0,2,0.8
438,James Justin,Правый защитник,25,Англия,Лестер Сити,"20,00 млн €",4,0,0,0,0,0,0,1,1,0.0
439,Ismaïla Sarr,Правый Вингер,25,Сенегал,Олимпик Марсель,"20,00 млн €",6,2,0,2,0,0,0,1,2,0.67
440,Nicolas Seiwald,Центр. полузащитник,22,Австрия,РБ Лейпциг,"20,00 млн €",3,0,0,0,1,0,0,0,1,0.0
441,Claudinho,Атак. полузащитник,26,Бразилия,Зенит Санкт-Петербург,"20,00 млн €",12,3,0,2,3,0,0,2,7,0.42
442,Dodô,Правый защитник,24,Бразилия,Фиорентина,"20,00 млн €",6,0,0,0,0,0,0,1,1,0.0
443,Arthur Cabral,Центральный нап.,25,Бразилия,Бенфика,"20,00 млн €",4,0,0,0,1,0,0,2,2,0.0
444,Lovro Majer,Центр. полузащитник,25,Хорватия,Вольфсбург,"20,00 млн €",5,0,0,1,1,0,0,1,4,0.2
445,Anel Ahmedhodzic,Центр. защитник,24,Босния и Герцеговина,Шеффилд Юнайтед,"20,00 млн €",5,0,0,0,2,0,0,0,0,0.0
446,André Almeida,Центр. полузащитник,23,Португалия,Валенсия,"20,00 млн €",5,0,0,1,0,0,0,1,4,0.2
447,Florentino,Опорный полузащитник,24,Португалия,Бенфика,"20,00 млн €",5,0,0,0,1,0,0,4,1,0.0
448,Noah Okafor,Центральный нап.,23,Швейцария,Милан,"20,00 млн €",4,0,0,0,1,0,0,4,0,0.0
449,Ché Adams,Центральный нап.,27,Шотландия,Саутгемптон,"20,00 млн €",8,3,0,1,3,0,0,3,3,0.5
450,Boubakary Soumaré,Опорный полузащитник,24,Франция,Севилья,"20,00 млн €",1,0,0,0,0,0,0,1,0,0.0
451,Cengiz Ünder,Правый Вингер,26,Турция,Фенербахче,"20,00 млн €",5,0,0,1,0,0,0,2,3,0.2
452,Merih Demiral,Центр. защитник,25,Турция,Аль-Ахли,"20,00 млн €",4,0,0,0,2,0,1,1,0,0.0
453,Sander Berge,Опорный полузащитник,25,Норвегия,Бернли,"20,00 млн €",6,0,0,0,2,0,0,2,4,0.0
454,Diego Carlos,Центр. защитник,30,Бразилия,Астон Вилла,"20,00 млн €",6,0,0,1,0,0,0,3,1,0.17
455,Philip Billing,Центр. полузащитник,27,Дания,Борнмут,"20,00 млн €",6,0,0,0,0,0,0,0,1,0.0
456,Brahim Díaz,Атак. полузащитник,24,Испания,Реал Мадрид,"20,00 млн €",3,0,0,0,0,0,0,3,0,0.0
457,David García,Центр. защитник,29,Испания,Осасуна,"20,00 млн €",6,0,0,0,3,0,0,0,0,0.0
458,Jonathan Bamba,Левый Вингер,27,Кот-д'Ивуар,Сельта Виго,"20,00 млн €",5,0,0,0,0,0,0,0,1,0.0
459,Wout Faes,Центр. защитник,25,Бельгия,Лестер Сити,"20,00 млн €",7,0,0,0,1,0,0,0,0,0.0
460,Demarai Gray,Левый Вингер,27,Ямайка,Аль-Иттифак,"20,00 млн €",3,1,0,2,0,0,0,1,2,1.0
461,Mykola Matvienko,Центр. защитник,27,Украина,Шахтер Донецк,"20,00 млн €",6,3,0,0,2,0,0,0,0,0.5
462,Ludovic Blas,Атак. полузащитник,25,Франция,Стад Ренн,"20,00 млн €",4,1,0,0,0,0,0,1,1,0.25
463,Ramy Bensebaini,Левый защитник,28,Алжир,Боруссия Дортмунд,"20,00 млн €",7,0,0,1,2,0,0,1,3,0.14
464,Mario Hermoso,Центр. защитник,28,Испания,Атлетико Мадрид,"20,00 млн €",5,0,0,0,3,0,0,0,1,0.0
465,Borja Iglesias,Центральный нап.,30,Испания,Бетис,"20,00 млн €",4,0,0,0,1,0,0,2,2,0.0
466,Vitaly Janelt,Опорный полузащитник,25,Германия,Брентфорд,"20,00 млн €",6,0,0,0,0,0,0,0,2,0.0
467,Jefferson Lerma,Опорный полузащитник,28,Колумбия,Кристал Пэлас,"20,00 млн €",5,0,0,0,0,0,0,0,0,0.0
468,Davide Calabria,Правый защитник,26,Италия,Милан,"20,00 млн €",5,0,0,1,1,0,0,0,3,0.2
469,Ricardo Horta,Левый Вингер,29,Португалия,Брага,"20,00 млн €",8,2,0,6,0,0,0,0,4,1.0
470,Dominic Solanke,Центральный нап.,26,Англия,Борнмут,"20,00 млн €",6,2,0,1,1,0,0,1,0,0.5
471,Daniel Podence,Левый Вингер,27,Португалия,Олимпиакос Пирей,"20,00 млн €",1,0,0,1,0,0,0,0,1,1.0
472,Gabriel Barbosa,Центральный нап.,27,Бразилия,Фламенго,"20,00 млн €",0,0,0,0,0,0,0,0,0,
473,Breel Embolo,Центральный нап.,26,Швейцария,Монако,"20,00 млн €",0,0,0,0,0,0,0,0,0,
474,Philipp Lienhart,Центр. защитник,27,Австрия,Фрайбург,"20,00 млн €",6,0,0,0,2,0,0,0,1,0.0
475,Fredrik Aursnes,Центр. полузащитник,27,Норвегия,Бенфика,"20,00 млн €",7,1,0,2,1,0,0,0,0,0.43
476,Mario Pasalic,Атак. полузащитник,28,Хорватия,Аталанта,"20,00 млн €",2,0,0,0,0,0,0,1,1,0.0
477,Nabil Fekir,Атак. полузащитник,30,Франция,Бетис,"20,00 млн €",0,0,0,0,0,0,0,0,0,
478,Chancel Mbemba,Центр. защитник,29,ДР Конго,Олимпик Марсель,"20,00 млн €",7,1,0,0,0,0,0,1,0,0.14
479,Bryan Cristante,Опорный полузащитник,28,Италия,Рома,"20,00 млн €",4,1,0,2,0,0,0,0,0,0.75
480,Jonathan Tah,Центр. защитник,27,Германия,Байер 04 Леверкузен,"20,00 млн €",6,2,0,0,2,0,0,1,1,0.33
481,Nick Pope,Вратарь,31,Англия,Ньюкасл Юнайтед,"20,00 млн €",6,0,0,0,0,0,0,0,0,0.0
482,Fred,Центр. полузащитник,30,Бразилия,Фенербахче,"20,00 млн €",5,0,0,0,2,0,0,0,1,0.0
483,Harry Maguire,Центр. защитник,30,Англия,Манчестер Юнайтед,"20,00 млн €",2,0,1,0,0,0,0,2,0,0.0
484,Gerard Moreno,Центральный нап.,31,Испания,Вильярреал,"20,00 млн €",5,2,0,0,0,0,0,0,5,0.4
485,Riyad Mahrez,Правый Вингер,32,Алжир,Аль-Ахли,"20,00 млн €",7,2,0,4,1,0,0,0,4,0.86
486,Raphaël Guerreiro,Левый защитник,29,Португалия,Бавария Мюнхен,"20,00 млн €",0,0,0,0,0,0,0,0,0,
487,Álvaro Morata,Центральный нап.,30,Испания,Атлетико Мадрид,"20,00 млн €",5,3,0,0,1,0,0,2,1,0.6
488,Granit Xhaka,Опорный полузащитник,30,Швейцария,Байер 04 Леверкузен,"20,00 млн €",5,0,0,0,1,0,0,0,2,0.0
489,Marcel Sabitzer,Центр. полузащитник,29,Австрия,Боруссия Дортмунд,"20,00 млн €",7,1,0,1,1,0,0,1,3,0.29
490,Ilkay Gündogan,Центр. полузащитник,32,Германия,Барселона,"20,00 млн €",8,0,0,3,0,0,0,1,3,0.38
491,Ivan Ilic,Центр. полузащитник,22,Сербия,Торино,"19,00 млн €",4,1,0,1,1,0,0,1,1,0.5
492,Mauro Icardi,Центральный нап.,30,Аргентина,Галатасарай,"19,00 млн €",8,8,0,1,1,0,0,2,2,1.12
493,Eliesse Ben Seghir,Атак. полузащитник,18,Франция,Монако,"18,00 млн €",0,0,0,0,0,0,0,0,0,
494,João Gomes,Центр. полузащитник,22,Бразилия,Вулверхэмптон Уондерерс,"18,00 млн €",5,0,0,0,2,0,0,0,3,0.0
495,Bradley Barcola,Правый Вингер,21,Франция,Пари Сен-Жермен,"18,00 млн €",7,2,0,1,1,0,0,2,2,0.43
496,Salis Abdul Samed,Опорный полузащитник,23,Гана,Ланс,"18,00 млн €",5,0,0,0,1,0,0,0,1,0.0
497,Adrien Truffert,Левый защитник,21,Франция,Стад Ренн,"18,00 млн €",4,0,0,0,0,0,0,1,2,0.0
498,Odilon Kossounou,Центр. защитник,22,Кот-д'Ивуар,Байер 04 Леверкузен,"18,00 млн €",5,0,0,0,0,0,0,0,1,0.0
499,Wilfried Gnonto,Левый Вингер,19,Италия,Лидс Юнайтед,"18,00 млн €",5,1,0,0,1,0,0,0,2,0.2
500,Iliman Ndiaye,Оттянутый нап.,23,Сенегал,Олимпик Марсель,"18,00 млн €",8,0,0,1,1,0,0,2,6,0.12
